0.0	0.0
0.01	-1.0662667438561763e-7
0.02	-1.704108637806971e-6
0.03	-8.610890451088015e-6
0.04	-2.7143329676184878e-5
0.05	-6.604465774181275e-5
0.06	-0.00013638658408813295
0.07	-0.00025144457311651646
0.08	-0.0004265480773693311
0.09	-0.0006789072372064063
0.1	-0.0010274177542248263
0.11	-0.0014924458117234456
0.12	-0.0020955950517198884
0.13	-0.0028594577267112746
0.14	-0.003807352230656029
0.15	-0.004963049282699702
0.16	-0.006350489097286881
0.17	-0.00799349193170806
0.18	-0.009915464466571829
0.19	-0.012139104550364214
0.2	-0.014686106933835458
0.21	-0.01757687273401034
0.22	-0.020830225501311337
0.23	-0.024463136911122153
0.24	-0.02849046525503117
0.25	-0.032924710051792726
0.26	-0.03777578621861039
0.27	-0.043050821317472364
0.28	-0.04875397939944225
0.29	-0.054886314887676806
0.3	-0.06144565975202099
0.31	-0.06842654691644906
0.32	-0.07582017239871004
0.33	-0.08361439810895625
0.34	-0.09179379654018195
0.35	-0.1003397377854019
0.36	-0.10923051844299383
0.37	-0.11844153105700145
0.38	-0.12794547182270183
0.39	-0.13771258341057468
0.4	-0.14771092896639682
0.41	-0.15790669266513194
0.42	-0.1682645016629743
0.43	-0.1787477639228776
0.44	-0.18931901619361954
0.45	-0.1999402764028202
0.46	-0.2105733948590412
0.47	-0.22118039894211156
0.48	-0.23172382635459832
0.49	-0.24216704249236382
0.5	-0.2524745380385206
0.51	-0.2626122034647293
0.52	-0.2725475777211248
0.53	-0.28225006898837823
0.54	-0.291691145951228
0.55	-0.3008444986149372
0.56	-0.30968616823156625
0.57	-0.3181946464239997
0.58	-0.3263509440895384
0.59	-0.3341386311323809
0.6	-0.3415438484997095
0.61	-0.34855529438212307
0.62	-0.35516418675470296
0.63	-0.3613642046883371
0.64	-0.36715141102346427
0.65	-0.3725241590629752
0.66	-0.37748298593365565
0.67	-0.38203049509111625
0.68	-0.38617123032030265
0.69	-0.38991154320089394
0.7	-0.39325945579287286
0.71	-0.39622451995866736
0.72	-0.39881767429832277
0.73	-0.4010510995943208
0.74	-0.40293807333574855
0.75	-0.4044928237866858
0.76	-0.4057303841186259
0.77	-0.40666644700118776
0.78	-0.40731722032411904
0.79	-0.4076992847677525
0.8	-0.4078294541272966
0.81	-0.40772463943568166
0.82	-0.4074017180119201
0.83	-0.4068774086236532
0.84	-0.40616815380374366
0.85	-0.40529001038367324
0.86	-0.4042585489428644
0.87	-0.4030887627131634
0.88	-0.40179498615045306
0.89	-0.4003908231369997
0.9	-0.39888908443182336
0.91	-0.39730173392653795
0.92	-0.395639842977797
0.93	-0.39391355213927587
0.94	-0.39213203952260756
0.95	-0.39030349522075214
0.96	-0.38843510123501646
0.97	-0.38653301651026345
0.98	-0.3846023669004787
0.99	-0.38264723993258615
1.0	-0.3806706843677977
1.01	-0.37867471468435854
1.02	-0.37666032059048754
1.03	-0.374627481767047
1.04	-0.3725751880478134
1.05	-0.3705014653288316
1.06	-0.3684034075114946
1.07	-0.3662772149821797
1.08	-0.3641182401006825
1.09	-0.36192104050315244
1.1	-0.35967944086727593
1.11	-0.35738660419528756
1.12	-0.35503511326966225
1.13	-0.3526170633200347
1.14	-0.3501241661912552
1.15	-0.347547866605556
1.16	-0.34487946998100755
1.17	-0.3421102815130966
1.18	-0.33923175481173545
1.19	-0.33623564865680555
1.2	-0.33311418898291073
1.21	-0.3298602334852132
1.22	-0.32646743539635337
1.23	-0.3229304027681304
1.24	-0.31924484990147034
1.25	-0.3154077373314328
1.26	-0.3114173972457633
1.27	-0.30727364177831107
1.28	-0.3029778516716681
1.29	-0.2985330446190145
1.3	-0.29394392131998404
1.31	-0.289216889853841
1.32	-0.2843600688907621
1.33	-0.27938326903561306
1.34	-0.2742979552065975
1.35	-0.2691171905869958
1.36	-0.2638555626466187
1.37	-0.25852909432857774
1.38	-0.2531551408308236
1.39	-0.24775227288193663
1.4	-0.24234014855214675
1.41	-0.23693937452615926
1.42	-0.23157135719701105
1.43	-0.22625814562067725
1.44	-0.22102226726084853
1.45	-0.21588655732607295
1.46	-0.21087398394038082
1.47	-0.20600747053554913
1.48	-0.20130971697480537
1.49	-0.19680302198029223
1.5	-0.19250910841462232
1.51	-0.18844895374901185
1.52	-0.1846426274298727
1.53	-0.18110913713497795
1.54	-0.1778662853008101
1.55	-0.17493053723530463
1.56	-0.1723169016321633
1.57	-0.17003882404328283
1.58	-0.16810809351450012
1.59	-0.16653476249147534
1.6	-0.16532707941389105
1.61	-0.164491433799792
1.62	-0.16403231362182918
1.63	-0.16395227396676443
1.64	-0.16425191787230542
1.65	-0.16492988807258716
1.66	-0.16598287105172693
1.67	-0.16740561274133453
1.68	-0.16919094785270705
1.69	-0.17132984224884187
1.7	-0.17381145001595585
1.71	-0.17662318558228757
1.72	-0.17975081200828957
1.73	-0.1831785447372864
1.74	-0.18688917152980286
1.75	-0.19086418753315365
1.76	-0.19508394439901855
1.77	-0.1995278123983346
1.78	-0.20417435237308348
1.79	-0.209001495892518
1.8	-0.21398673028270956
1.81	-0.21910728547875294
1.82	-0.2243403195833506
1.83	-0.22966309970441193
1.84	-0.23505317500853187
1.85	-0.24048853925870867
1.86	-0.24594778016624572
1.87	-0.2514102135211161
1.88	-0.2568560005621309
1.89	-0.2622662476919281
1.9	-0.26762308716681926
1.91	-0.2729097395245157
1.92	-0.2781105576606374
1.93	-0.2832110529046574
1.94	-0.2881979057434285
1.95	-0.2930589601991512
1.96	-0.2977832052284783
1.97	-0.30236074403302177
1.98	-0.3067827531815549
